	bug_id_x	title_x	description_x	dup_id_x	bug_id_y	title_y	description_y	dup_id_y
10	66736	can not use logitech cordless presenter ghz with animations	the logitech cordless presenter ghz is a wireless device used to remote control a presentation among others it has two keys and to step forward and backward through a presentation by sending pagedown resp pageup to the presentation program there are probably other devices with the same functionality on the market however while this is fine for m powerpoint presentations it wo nt work with ooo if a slide contains animations that need additionals clicks to start the reason is that pagedown key does not proceed to the next animation on the same slide but to the next slide instead skipping the animations on the current one a similar problem is with the device s black screen functionality it sends a while ooo expects a b i help myself with xmodmap under the x window system to redefine the keys the pagedown key will generate a space and the key will generate a b this is of course very clumsy and has severe impacts on other applications command to change the key mappings xmodmap e keycode space next e keycode b colon period division period division command to restore the key mappings xmodmap e keycode next e keycode period colon periodcentered division periodcentered division i suggest to add a toggle button to establish complete powerpoint compatibility in the presentation mode ie accept pagedown to proceed to the next animation and accept to switch to black screen an even better or at least more flexible enhancement would be to give the user full control over which key should have which functionality in presentation mode it seems not to be possible to do this with ooo s normal key mapping feature	71026	71026	microsoft presenter mouse support missing	it is not possible to control the presention in viewing mode using the buttons of the microsoft wireless notebook presenter mouse the mouse generates the wmappcommand message with the cmd set to appcommandmedianexttrack for the next page appcommandmediaprevioustrack for the previous page and not necessary for presentations but could be used to start and stop embedded animations and sounds appcommandmediaplaypause for the media control button best regards christian	
11	62764	when copyingpasting conten from an internet browser to the writher the program is freezing for some time	when you copy content from an internet page oo201 is freezing for the time it needs to get all data especially if there are pictures in the paste and if you open a oo dokument which has copied content it will freeze again this is very anoying especially if you paste for example a text which contains pictures and if you do nt have internet access or your access is very slow then it is really not nice you do nt know if oo is now dead or if you have only to wait long enough one time i have waited for one of this files minutes to load and then shot oo down by killing his process it would be good if oo would not wait to long for this stuff and give you an option to load it later if it takes to much time to load this stuff something like the flashblckextension from mozillafirefox is working where you can click at the flash and then it get loaded	7553	7553	performance issue opening document containing internet reference	openofficeorg writer may execute an invalid operation when loading some documents containing reference to an internet url if the internet connection is not available at the time or having incorrectly set optioninternetproxy settings windows2000 issuses a dialog saying the instruction at 0x035c6f15 referenced memory at 0x00000000 the memory could not be read and terminates ooo writer this does nt occur to all documents containing internet reference and it does nt happen every time but frequently opening the document that had issued this error when testing i found if the error occurs windows2000 seems always complaining the same instruction address mentioned above one more problem is if the internet connection is very slow it takes too long minutes to load the document before ooo recovers from freezing when loading	
12	95061	document recovery does nt recognize duplicate request	ooo hangscrashes whatever i double click the file that i was working on i have to get back to work document recovery comes up i recover my file and it opens my file opens again from the double click in the os i did nt want to open the file twice i wanted to open it once but the document recovery when it interrupts the file open process does nt recognize that the file i am attempting to open is the same as the one being recovered	100651	100651	recovery can cause two versions of the same file to be open	you can end up with two versions of the same file open at the same time when using recovery steps open existing file make sure autosave is set to a reasonably low number of minutes make a few changes without saving kill soffice reopen ooo by clicking on the original file or via command line notice after recovery that the original file and the recovered file are both open normally you ca nt cause two versions of the same document to be open at the same time so this is most likely a bug or at least bad behavior because a user could end up not noticing and end up editing both versions of the same file	
13	7299	focus doenst move when pressing the right mouse button	although i do nt like to directly compare calc with excel i have found one thing that i really miss from excel if you have focus in ie cell a1 and you right click on cell f4 then focus remains in cell a1 instead of moving to cell f4 the same goes with sheets so to change something in cell f4 you fist need to select cell f4 left clicking and then right click the cell would it be possible to implement so that focus changes on right click too	4513	4513	right click on register does not select register prior to showing menu	hello open an new spreadsheet there are registers table table table right click on table and select delete table is deleted this is because table is not selected with the right click a right click on the registers should first select the clicked register best regards bruno grossniklaus ps i love oo keep this very good work ongoing	
14	91195	structure of bibliogrpahy do not work for book excerpt with title	goto insertindexes and tables indexes and tables in indextable tab choose bibliography in type menu in entries tab choos book excerpt with title in type menu now in structure and formatting part try to add elements for example add editor or book title from the drop down menu to the structure you will see that instead of adding the appropriate button it adds ci chapter information when you click ok to insert the bibliogrpahic item you will see that it is not inserted in fact all elements shown by ci button are missing thank you	90967	90967	impossible to add other biblio structure entry then ci	in the attached document biblioodt right click on the bibliographic index and choose edit indextable click on entries tab inside the dialog box and try insert something into the structure of the reference no matter what field i choose from the drop down list when i press insert button it changes to chapter info and ci is added to the structure instead of the selected field moreover when you click on the entered ci field a few more controls appear which are not positioned correctly withing the dialog box	
15	101834	print pages noncontinuous in userdefined order	sometimes is useful to print for example pages exactly in this order but writer always do it in the ascending order	11831	11831	print pages in specified order	hi i need to print pages exactly in the order pages ooo keeps printing pages this occures while printing multiple pages on one sheet for better understanding i produced file cards din a6 and am interested in printing them on one sheet din a4 for the backside of the cards the order must be has anybody a solution greetings raphael matthias krug	
16	62859	writer slow and unstable when pasting part of table from browser	there is a dutch site for public transport travel information http www9292ovnl9292ov1asp i regularly copy a part of the page with the advise and paste it into writer pasting takes very long in mucht longer than in 11x to make it leaner i can cut the part pasted in writer and paste it special as rtf however this cutting or copying often makes ooo crash i ll attach an example document shortly	80941	80941	loop by redo of copy from clipboard	open bug document select all cut all into clipboard insert from clipboard undo redo loop	
17	72142	xls and cell formatting issue ooo	bug see attached url for file http vloschiavokicksassnetalbumsweeklyactivityformtemplatexls note i did nt create this spreadsheet the time cells were formatted in windows msexcel to the following specs range format xxxx if you try to enter any value in this field oo give you the error invalid range enter a number from to examples are this field reflects hours this is repeatable in both x86 and x8664 ooo v204 these fields work correctly in msexcel vince	41104	41104	needs spec make calc data validity more powerful and easier to use	excel s data validation is harder to use and has less features than starcalc s data validity see below for analysis from paulkuckein sun excel s data validation starcalc s data validity tab settings tab criteria allow pulldown list values allow pulldown list values any value any value whole number whole numbers decimal decimal list not available date date time time custom not available data text box data text box value text box value text box ignore blank check box allow blanks check box apply these changes to all other cells with not available the same settings check box tab input message tab input help excel s input message tab and starcalc s input help tab are essentially equivalent tab error alert tab error alert excel s error alert tab and starcalc s error alert tab are essentially equivalent comments the principal difference between starcalc s data validity function with excel s data validation function lies in the additonal items on the allow pulldown list on the first tab excel has two additional items list and custom list allows the user to reference a range on the spreadsheet containing specific values to be tested against in addition a check box appears allowing the useer to specify that the list values appear as an incell dropdown this makes the creation of dropdown lists for data entry in a cell extremely easy especially as compared with starcalc custom allows the entry of a formula which checks the value entered into the cell the text box for the entry of the formula may reference a cell or range on the spreadsheet in addition the apply these changes to all other cells with the same settings check box allows easy updates to the validation criteria i hope that this helps as the frequent questions regarding pulldown lists for data entry in starcalc indicate the list function with the incell dropdown is a muchneeeded enhancement for satrcalc what paolo wants to do would be easy in excel it is much more difficult starcalc	
18	57929	error message in exported pdf	attached there is a ooo11writerdocument including a drawing with dooted lines when exporting this document to pdf by ooo20 acrobar reader shows the error message dash arguments are invalid and the page is not displayed the same document opened by ooo11 and then exported shows no error and the graphics is displayed correctly the export even works well when the document is first saved as odt in ooo20 opened by ooo115 and then being exported the same problem occurs in other components such as impress	58650	58650	pdf export array length out of range	hello everybody i drew a document for my company and to easily distribute it i exported it as pdf without any problems when opening the pdf in adobe reader it displays the error array length out of range and only displays about of the page s content other pdf pages even ones exported by ooo too work without this error i ll attach the document in question so you can try it for yourself when i m home this evening i ll try ooo on linuxx64 this is windows xp on amd64 in bit mode greetings helge jung	
19	56439	line style causing acrobat error on exported pdf	acrobat reader displays an error array length out of the allowed bound when rendering pdf files exported from ooo containing lines with lines dots var style this do nt happen if i use ooo to export the document to pdf i tried another pdf reader evince in ubuntu linux and it displays correctly the pdf with no errors to reproduce the error open a new draw document draw a line on it right click on the line select line option set sytile to lines dots var save and export the file to pdf	58650	58650	pdf export array length out of range	hello everybody i drew a document for my company and to easily distribute it i exported it as pdf without any problems when opening the pdf in adobe reader it displays the error array length out of range and only displays about of the page s content other pdf pages even ones exported by ooo too work without this error i ll attach the document in question so you can try it for yourself when i m home this evening i ll try ooo on linuxx64 this is windows xp on amd64 in bit mode greetings helge jung	
20	55971	blank records at bottom of tables connected to existing database	accidental duplicate of	55970	55970	blank records at bottom of tables connected to existing database	ooo rc2 base connect to an existing database spreadsheet blank records rows often appear at the bottom of tables blank records cause problems when filtering sorting or copying tables because such databases are uneditable blank rows can not be removed	
21	42627	base lists system tables when opening ms access database	entering this under the database access component since there is not a category for the base application when opening a microsoft access database file base list what appear to be internal system tables from the database which do nt appear in the list of tables when viewed within microsoft access for example when the sample northwindmbd database is opened base lists several tables which start with msys such as msysaccess msysaces etc which i would guess are interal tables used in microsoft access	42048	42048	for ms access databases hide system tables	currently when you create a database document working with an ms access database aka a mdb file several tables are shown which are system tables eg msysmodules2 msystoolbars and in parts can not even be accessed by the user due to missing read permissions eg msysaces in the api ooo database documents feature table type filters which could be used to mask out those tables for this the filenewdatabase wizard should be adjusted so that when creating a database document for an mdb file it automatically sets the tabletypefilter to something which hides the system tables in addition the editdatabaseconnection type wizard should be changed so that it resets the tabletypefilter to empty when an msaccess database document is changed to another type and the tabletypefilter is the default filter for msaccess databases sets the tabletypefilter to hide ms access system tables when an arbitrary database document is changed to the ms access type and the tabletypefilter is empty currently	
22	44344	in ooo introduced bug backspace does not work left beside headings	please open the attached document make sure nonprinting charcters are displayed place the cursor left beside the heading press backspace it does not work	41732	41732	deleting paragraph in front of a heading via backspace does not work	please create the following structure in writer heading empty paragraph cursor heading back space key at cursor position does not work	
23	38710	unable to remove a database	steps to reproduce open the calc application 2select a datasource if there is possibility to remove the selected datasource to be accessed from open office it would add some more flexibility to the tool	38712	38712	rfe provide a possibility to delete a databasefiles from datasource browser	in calc application 1press f4 or go to viewdatabasefile there is no option to delete the databasefile	
24	51421	allow specification of resolution for bitmap exports jpeg png etc	currently if i make a drawing in oo i m using and m104 and want to export a highquality bitmap i need to first export it to a vector format i use eps open it in gimp that allows for specification of resolution when importing eps and reexport it to jpeg or png this is of course extremely cumbersome especially as working with highquality complex eps and bitmaps are demanding for my computer so i propose adding a resolution box dpi to the jpegpng export dialogs defaulting to the current value of it would make oo much more usable mikael	4499	4499	export to bitmap file has fixed dpi resolution	when exporting graphics draw or impress to a bitmap file bmp tiff jpg gif png dpi resolution is fixed at approximately dpi regardless of options selected bmp export filter has resolution option yet selecting different dpi levels has no effect on saved file other filters do nt provide option therefore this might be an enhancement	
25	27919	export to jpgbmp etc	hello i created a drawing by embedding several mpixelimages the images were linked into the drawing on screen a correct resoltion is displayed if i zoom into the drawing everting looks good by exporting the drawing to any kind of grafics jpgbmp i realised that all embedded grafics come in a very poor resolution into the new exported file the maximum size of the exported picture was arround making a printing with a postscriptprinterdriver phaser780 i get a file at arround mbyte which can be viewed with ghostview it s still not that good as i expect it to be but much better than every exportfilter the photo rendering is not perfect the rendering seemes to work without a bspline or whateveritisfilter only if one photo is emedded then the export creates a usefull in my case the original resolution of the embedded picture having a usefull export functionality oodraw could be easly used to create colorimages such as contact printings regards	4499	4499	export to bitmap file has fixed dpi resolution	when exporting graphics draw or impress to a bitmap file bmp tiff jpg gif png dpi resolution is fixed at approximately dpi regardless of options selected bmp export filter has resolution option yet selecting different dpi levels has no effect on saved file other filters do nt provide option therefore this might be an enhancement	
26	12881	the user should be able to specify the resolution of the image png gif jpeg etc that is being exported	when exporting the drawing created in openoffice there should be an option to select the resolution of the image being exported	4499	4499	export to bitmap file has fixed dpi resolution	when exporting graphics draw or impress to a bitmap file bmp tiff jpg gif png dpi resolution is fixed at approximately dpi regardless of options selected bmp export filter has resolution option yet selecting different dpi levels has no effect on saved file other filters do nt provide option therefore this might be an enhancement	
27	66029	bitmap export is useless because it autoselect dpi based on producer hardware	exporting a drawing to a bitmap format will use the screen resoltion without asking the user this is wrong both when the target is paper printing or when the target is web document in the first case required dpi is usually standardised higher than the screen dpi in the second case it s usually standardised lower in any way using the screen dpi which can be pretty much anything depending on the hardware when producing image documents which will be reused on other different hardware is plain wrong	4499	4499	export to bitmap file has fixed dpi resolution	when exporting graphics draw or impress to a bitmap file bmp tiff jpg gif png dpi resolution is fixed at approximately dpi regardless of options selected bmp export filter has resolution option yet selecting different dpi levels has no effect on saved file other filters do nt provide option therefore this might be an enhancement	
28	44187	openoffice crashes on every paste from ms word viewer	openoffice crashes on every paste from ms word viewer i had these problem with older builds too pasting does work if i paste as unformatted text however these seems like a big issue	43670	43670	pasting text from ms office word leads to crash	pasting even simple text from ms word into a writer document results in a crash the document is successfully recovered including the pasted text	
29	71711	chart model not supported by ooo	chart model not supported by ooo look different if viewed in office and ooo	20321	20321	offer exploded 3d pies segment offset for 3d pies	source dieter loeschky category charts product requirement chart 3d charts removable segments customer needproblem users need to be able to pull out the segments of threedimensional pie charts similar to the way it is already possible with twodimensional pie charts product concept for 2d pies it is already possible to pull out pie segments this feature needs to be implemented also for 3d pie segments and outermost segments of donut charts the maximum radius for pulling out segments is of the pie radius the dragging is restricted to the bisector of the pie functional specification for this we need to implement a 3d dragmethod to allow interactive dragging with the mouse the offsets will be stored in the same members that are used for 2d pies when a pie is dragged too far out such that it is no longer completely visible it should automatically be pushed inward until it is fully visible again but of course without changing the offset values in the model	
30	16773	offer variations on exploded pie charts	excel offers various 2d and 3d variants of its exploded pie charts i do not have excel to play with so i do nt know if they ve implemented the following type of pie charting i m about to describe i believe that a more general and intuitive way would be for exploded pie charts both 2d and 3d to take an additional column of data this data would be for unexploded slice and for an exploded slice if some value s are n instead of the corresponding pie slice would be exploded by something proportional to n i do nt know what units n would be in this would permit arbitrary slices other than just slice to be exploded multiple slices to be exploded at once and if ns given instead of 1s slices to be exploded by arbitrary amounts the advantage of using an additional data column is that the 01n values could be determined by a formula instead of being fixed note that this would not apply to ring or donut type pie charts	20321	20321	offer exploded 3d pies segment offset for 3d pies	source dieter loeschky category charts product requirement chart 3d charts removable segments customer needproblem users need to be able to pull out the segments of threedimensional pie charts similar to the way it is already possible with twodimensional pie charts product concept for 2d pies it is already possible to pull out pie segments this feature needs to be implemented also for 3d pie segments and outermost segments of donut charts the maximum radius for pulling out segments is of the pie radius the dragging is restricted to the bisector of the pie functional specification for this we need to implement a 3d dragmethod to allow interactive dragging with the mouse the offsets will be stored in the same members that are used for 2d pies when a pie is dragged too far out such that it is no longer completely visible it should automatically be pushed inward until it is fully visible again but of course without changing the offset values in the model	
31	67045	open officeorg help	the addins help has been installed properly but help for addins are not displayed in help upon click foll message is displayed could not find help page unfortunately the help page you selected was not found the following data could be helpful in locating the error help id text 2fscalc 2f01 2f04060118xhp we apologize for any inconvenience click back to return to the previous page	59499	59499	help returns error when searchterm related to function	using help either contents index or find searchterm function or any term related to function in calc or beginning with fun fut or fv induces an error of the kind unfortunately the help page you selected was not found the following data could be helpful in locating the error help id text 2fscalc 2f01 2f0408xxxxxhp we apologize for any inconvenience click back to return to the previous page as far as i can ascertain this appeared with rc5 i have performed a clean install and problem persists	
32	62016	could not find help page when accessing openofficeorg help	when accessing some help topics in the openofficeorg help the following error is displayed in the right pane of the help viewer unfortunately the help page you selected was not found the following data could be helpful in locating the error help id text 2fscalc 2fmain0000xhp we apologize for any inconvenience click back to return to the previous page this error seems to affect the help topics for all calc functions and errors as well as some other topics including but not limited to absolute references in spreadsheets goal seek example relative addresses the help id in the error changes depending on the topic that is missing some of which are text 2fscalc 2fguide 2frelativabsolutrefxhp text 2fscalc 2f01 2f04060103xhp text 2fscalc 2f05 2f02140000xhp text 2fscalc 2f01 2f04060106xhp it would appear from this that some of the help files are missing from the windows release and as this feature worked in the previous windows release this represents a regression of functionality	59499	59499	help returns error when searchterm related to function	using help either contents index or find searchterm function or any term related to function in calc or beginning with fun fut or fv induces an error of the kind unfortunately the help page you selected was not found the following data could be helpful in locating the error help id text 2fscalc 2f01 2f0408xxxxxhp we apologize for any inconvenience click back to return to the previous page as far as i can ascertain this appeared with rc5 i have performed a clean install and problem persists	
33	8689	installation of v101 crashes and leaves setup in abnormal state	i attempted to install ooo i have been using for some time the setup program crashed on the final step of the installation someting like creating local settings with the error setupexe has caused an error and will be shut down a log file is being created this crash left the installation in a unstable state and i am not able to use addremove programs to remove the installation it complains about a missing c setupinf file if i try to run any of the ooo program i get sofficeexe has generated errors and will be shut down i deleted the installation directory redownloaded the zip file and tried again with the same results	7215	7215	install fails on windows sp3	install fails on windows sp3 during registry update phase it can not register dll files in the registry	
34	33494	modified slides bleed thru	after modifying a slide selecting another slide the modified part of the previous slide remains under the new slide making it very confusing display when clicking to the slide the previous slide disappears and the display is ok	32686	32686	leave text object in edit mode and change slide text object still displayed	open a new document containing two slides create a text object within the first slide and leave the text object within edit view then change to second slide text object displayed on second slide	
35	45531	spreadsheet page preview crashes	when clicking on page preview from file or clicking on the page preview icon in the taskbar openoffice will crash and the crash dialog box will pop up	44073	44073	calc page preview crashes when java was started before	solaris x86 only new calc add random content take any action that start java eg export document to xhtml insert an applet start db report wizzard invoke file page preview crash on other os there seems to be a delay starting the preview sorry this issue does nt seem to produce a crash report	
36	46607	spreadsheet consistently crashes ooo on open	spreadsheet created in ooo 20b consistently crashes 680m87 on open the spreadsheet is quite simple there are no graphes calculations macros etc it is just a table containing text entries the spreadsheet is available upon request since i see no way to attach a file to this issue	44073	44073	calc page preview crashes when java was started before	solaris x86 only new calc add random content take any action that start java eg export document to xhtml insert an applet start db report wizzard invoke file page preview crash on other os there seems to be a delay starting the preview sorry this issue does nt seem to produce a crash report	
37	25486	writer s default tabs do nt align with the ruler markings	writer s default tabs do nt align with the ruler markings to see this set a default tab spacing of cm with tools options text document general tab stops open a new blank document file new text document observe the default tab stops in the ruler those on the left of the ruler align with the set value ie cm cm but as the tab stops progess across the page they fall short of their intended settings with a4 paper set with cm left margin and cm right margin the last default tab stop on portrait orientation should be at cm the displayed one does not align with the cm mark but occurs beforehand at about cm changing to landscape orientation sees that the last tab stop should be at cm but it is displayed at about cm in both cases clicking the increase indent toolbar button shows that text in a paragraph lines up correctly with the tab stop settings ie text indented to cm aligns exactly with the ruler marking of cm it s only the displayed position of the tab stop on the ruler that is incorrect when the text starts from the left margin changing the view zoom setting alters the effect setting page width brings the tab stop almost in alignment with the ruler markings setting variable at aligns them exactly this with a lcd monitor at a resolution of 1280x1024 setting makes the tab stops overshoot the ruler markings ie instead of 17cm the tab stops appear at about cm the algorithm for calculating the intervals on the ruler for the default tab stops in writer seems to have an accumulative counting error this is a minor error with no apparent consequences for the document itself but it makes writer look shoddy this error is evident in draw and impress as well but the effect only becomes noticeable at the higher magnified view settings	21292	21292	default tabstops missaligned to ruler	the default tabstops are missaligned with rulers numbers when using inches as as a measurement unit the first default tabstop is ok but then next tabstops are miss aligned by a few points how to duplicate tools options text document general set the measurement unit to inch set the tabstops to	
38	114176	saving a document with page borders as word 972000xp damages document	create a new document enter the single word test create a page border format page borders set all borders 260pt check your page margins in my case it says here save as microsoft word 972000xp close document reopen the document observed the page margins have changed in my case to expected i would expect the margins to stay the same after reopening the document if you keep saving closing and opening the page margins will continue to change i also observed that for more complicated documents the fonts used in the documents changed in a very unpredictable fashion but this is harder to nail down this already happened in older versions of openoffice but here the latest specific version i have tried with openofficeorg ooo320m19 build9505 ooobuild	101438	101438	ww8 writer imports slightly wrong leftright page margin size instead of 317cm	hello i have both microsoft office xp and open office it seems that the writer does nt keep the top bottom left and right size word xp while importing word xp documents leading to bad text formating kind regards marco agpinto	
39	51350	shapes in writer can not be named via context menu	open a new writer document draw a shape select the shape and open the context menu you can not name a single shape only groups of shapes can be named this task is important because shapes that do not have names can not be utilized by accessibility tools also it is not understandable why single shapes can be named in drawimpress but not in writer afaik it s only a ui issue	27687	27687	can not assign a name to drawing objects	hi in order to have the drawing elements displayed in the navigator it is necessary that a name is assigned to these objects see also issue although there is a new category draw objects zeichenobjekte in the navigator it can not be used without using a cumbersome workaround you can only name grouped drawind objects not single objects alone the option does nt show up in the context menu and even assigning the function name object objekt benennen does nt work for single objects when you group the object with another element you can name it and the name will show up in the navigator i will attach a sample document showing a grouped and a ungrouped element try to name the singleone or make it appear in the navigator you ca nt in draw however it is possible to name single drawing objects ciao christian	51726.0
